id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
607435380788232654,Home in Denver · 1 bedroom · 1 bed · 1 shared bath,430149575,Roye,,North Park Hill,39.76039,-104.92968,Private room,35,30,2,2022-08-01,0.11,6,365,0,
545714833502855511,Rental unit in Denver · 2 bedrooms · 3 beds · 2 baths,169214047,Jerrod,,Hale,39.72785,-104.93783,Entire home/apt,149,30,0,,,1,364,0,
43920210,Guest suite in Denver · ★4.38 · 3 bedrooms · 4 beds · 2 baths,3484713,Vu,,Sloan Lake,39.75398,-105.03047,Entire home/apt,,29,13,2021-04-30,0.31,2,0,0,2021-BFN-0000590
52429527,Townhouse in Denver · ★4.78 · 3 bedrooms · 4 beds · 2.5 baths,107279139,Kyle And Kimberly,,Five Points,39.75852,-104.98846,Entire home/apt,190,1,68,2023-11-20,2.52,20,231,27,2021-BFN-0005677
632494576047532593,Townhouse in Denver · ★New · 2 bedrooms · 2 beds · 2.5 baths,416194740,Clayton,,West Colfax,39.736019,-105.05072,Entire home/apt,87,29,0,,,1,13,0,
687768125161080215,Home in Denver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,133612752,Ryan,,Sunnyside,39.77143,-105.02028,Entire home/apt,300,29,12,2023-09-04,0.99,1,27,12,2022-BFN-0019698
43316442,Townhouse in Denver · ★4.96 · 3 bedrooms · 5 beds · 4 baths,299373263,Dania,,Jefferson Park,39.74803,-105.02243,Entire home/apt,408,4,28,2023-12-26,0.67,1,238,12,2019-BFN-0011462
53892390,Guesthouse in Denver · ★4.97 · 1 bedroom · 1 bed · 1 bath,436546995,Conor,,Chaffee Park,39.79137,-105.02354,Entire home/apt,121,2,59,2023-11-27,2.61,1,246,20,2021-BFN-0010714
842293747258462739,Home in Denver · ★4.88 · 3 bedrooms · 6 beds · 3.5 baths,456393682,Jasmine,,Five Points,39.756066,-104.982419,Entire home/apt,561,1,16,2023-10-22,2.14,1,333,16,2023-BFN-0015672
717942620254550220,Home in Denver · 2 bedrooms · 2 beds · 2 baths,110328442,David,,Sunnyside,39.77790239999999,-105.0237574,Entire home/apt,128,30,0,,,1,365,0,
991710271661703752,Rental unit in Denver · Studio · 1 bed · 1 bath,263502162,Landing,,West Colfax,39.73960417213702,-105.04635025178685,Entire home/apt,93,30,0,,,55,365,0,
935117721555945908,Home in Denver · ★4.83 · 2 bedrooms · 2 beds · 2 baths,71753330,Luke,,West Highland,39.76547288243867,-105.04667108515007,Entire home/apt,319,2,12,2023-12-28,3.10,1,359,12,2023-BFN-0000532
632709,Townhouse in Denver · ★4.88 · 2 bedrooms · 2 beds · 2 baths,2157095,Valerie,,Highland,39.76468,-105.00883,Entire home/apt,143,29,154,2020-03-13,1.21,1,88,0,
861888024999339284,Rental unit in Denver · ★4.60 · 1 bedroom · 1 bed · 1 bath,302323071,Quincy,,Union Station,39.7550852,-105.0011372,Entire home/apt,165,2,9,2023-11-12,2.16,1,0,9,2023-BFN-0012848
53485317,Home in Denver · ★4.80 · 1 bedroom · 1 bed · 1 private bath,425969928,Henry,,West Colfax,39.73978,-105.03364,Private room,33,29,5,2023-04-01,0.21,4,345,1,
787141047994076229,Home in Denver · ★4.89 · 2 bedrooms · 2 beds · 2 baths,34955862,Scott,,Cole,39.76270271567261,-104.96561272589412,Entire home/apt,295,2,28,2023-09-23,2.41,43,358,28,2022-BFN-0013398
1037391989033116078,Home in Denver · ★New · 1 bedroom · 1 bed · 1 bath,185063162,Opuluxe,,City Park West,39.75037,-104.96341,Entire home/apt,60,30,0,,,4,259,0,
968038142577757342,Condo in Denver · ★5.0 · 1 bedroom · 1 bed · 1 bath,142202943,JZ Vacation Rentals,,Highland,39.7593461250016,-105.01492148292007,Entire home/apt,141,1,7,2023-11-18,2.04,26,344,7,2021-BFN-0001467
867558537288806613,Home in Denver · ★4.80 · 3 bedrooms · 3 beds · 2.5 baths,2619306,Zack,,Lincoln Park,39.73136,-104.99696,Entire home/apt,192,1,25,2023-12-18,3.10,58,86,25,2022-BFN-0023538
625484815499127868,Condo in Denver · 1 bedroom · 1 bed · 1.5 baths,277980890,Kevin,,North Capitol Hill,39.747002,-104.981819,Entire home/apt,90,29,0,,,1,62,0,
5536068,Condo in Denver · ★5.0 · 1 bedroom · 1 bed · 1 bath,28706795,Bryan,,CBD,39.74815,-104.99489,Entire home/apt,65,30,13,2023-12-20,0.12,2,72,2,
39990747,Home in Denver · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,308345149,Willie,,East Colfax,39.74346,-104.90119,Private room,33,29,14,2023-12-17,0.34,3,127,5,
714423282601257864,Condo in Denver · 1 bedroom · 2 beds · 1 bath,76447651,Kindra With RKA STAY,,CBD,39.7444882,-104.9892235,Entire home/apt,86,30,1,2023-08-19,0.23,1,276,1,
864337138560557480,Rental unit in Denver · 2 bedrooms · 2 beds · 2 baths,34955862,Scott,,North Capitol Hill,39.7408533,-104.9753392,Entire home/apt,130,30,0,,,43,27,0,
28416784,Condo in Denver · ★4.96 · 1 bedroom · 1 bed · 1 bath,206924454,Jayson,,Union Station,39.75448,-105.00453,Entire home/apt,95,30,180,2022-09-05,2.81,1,86,0,2019-BFN-0001447
50704726,Bungalow in Denver · ★4.87 · 4 bedrooms · 5 beds · 2 baths,47284191,Rick,,Barnum,39.71934,-105.02643,Entire home/apt,276,2,92,2023-12-27,3.46,1,0,37,2021-BFN-0005691
51631073,Home in Denver · ★4.67 · 3 bedrooms · 2 beds · 2.5 baths,72225094,Renee,,Gateway - Green Valley Ranch,39.79245,-104.77093,Entire home/apt,157,2,18,2022-11-27,0.63,1,0,0,2021-BFN-0005477
990790660615152125,Home in Denver · ★New · 2 bedrooms · 2 beds · 1 bath,12699399,Jake,,Capitol Hill,39.73899717611513,-104.97922325120861,Entire home/apt,68,29,0,,,1,0,0,
12654017,Rental unit in Denver · ★4.91 · 1 bedroom · 2 beds · 1 bath,3256573,Daphne,,Speer,39.71818,-104.98493,Entire home/apt,88,1,401,2023-12-24,4.31,1,78,83,2017-BFN-0000656
1022591634907012530,Rental unit in Denver · ★New · 2 bedrooms · 3 beds · 1 bath,22376458,Elizabeth,,Washington Park West,39.70449471836386,-104.98691176835601,Entire home/apt,,29,0,,,1,90,0,
5990927,Townhouse in Denver · ★4.76 · 1 bedroom · 4 beds · 1 bath,12740723,Roger,,Five Points,39.7507,-104.98245,Entire home/apt,150,3,368,2023-11-16,3.51,3,0,40,2021-BFN-0002402
